Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match_Url
3*,8,7,0,0,42.85,5,not out,2,v Sri Lanka,Hobart,26 Feb 2008,https://stats.espncricinfo.com/ci/engine/match/291369.html
66,108,87,6,0,75.86,5,bowled,2,v Australia,Sydney,2 Mar 2008,https://stats.espncricinfo.com/ci/engine/match/291371.html
2,6,5,0,0,40.00,6,caught,1,v Australia,Brisbane,4 Mar 2008,https://stats.espncricinfo.com/ci/engine/match/291372.html
9,28,27,0,0,33.33,5,bowled,1,v Pakistan,Mirpur,10 Jun 2008,https://stats.espncricinfo.com/ci/engine/match/345469.html
26,50,43,1,1,60.46,3,caught,2,v Bangladesh,Mirpur,12 Jun 2008,https://stats.espncricinfo.com/ci/engine/match/345470.html
24,43,27,5,0,88.88,3,caught,2,v Pakistan,Mirpur,14 Jun 2008,https://stats.espncricinfo.com/ci/engine/match/345471.html
11,37,29,0,0,37.93,3,run out,1,v Hong Kong,Karachi,25 Jun 2008,https://stats.espncricinfo.com/ci/engine/match/335349.html
0*,3,1,0,0,0.00,6,not out,2,v Pakistan,Karachi,26 Jun 2008,https://stats.espncricinfo.com/ci/engine/match/335351.html
22,28,23,2,0,95.65,3,caught,2,v Bangladesh,Karachi,28 Jun 2008,https://stats.espncricinfo.com/ci/engine/match/335352.html
58,81,71,4,0,81.69,6,caught,1,v Pakistan,Karachi,2 Jul 2008,https://stats.espncricinfo.com/ci/engine/match/335355.html
22*,37,28,2,0,78.57,6,not out,2,v Sri Lanka,Karachi,3 Jul 2008,https://stats.espncricinfo.com/ci/engine/match/335356.html
3,8,8,0,0,37.50,6,lbw,2,v Sri Lanka,Karachi,6 Jul 2008,https://stats.espncricinfo.com/ci/engine/match/335358.html
19,46,31,1,1,61.29,5,caught,1,v Sri Lanka,Dambulla,18 Aug 2008,https://stats.espncricinfo.com/ci/engine/match/343732.html
0,2,2,0,0,0.00,6,lbw,2,v Sri Lanka,Dambulla,20 Aug 2008,https://stats.espncricinfo.com/ci/engine/match/343733.html
32,39,32,3,0,100.00,7,caught,1,v Sri Lanka,Colombo (RPS),24 Aug 2008,https://stats.espncricinfo.com/ci/engine/match/343734.html
18,30,23,0,0,78.26,6,caught,1,v Sri Lanka,Colombo (RPS),27 Aug 2008,https://stats.espncricinfo.com/ci/engine/match/366341.html
3,11,5,0,0,60.00,5,lbw,2,v Sri Lanka,Colombo (RPS),29 Aug 2008,https://stats.espncricinfo.com/ci/engine/match/343736.html
11*,30,8,1,0,137.50,7,not out,1,v England,Rajkot,14 Nov 2008,https://stats.espncricinfo.com/ci/engine/match/361043.html
3,16,13,0,0,23.07,4,caught,1,v England,Indore,17 Nov 2008,https://stats.espncricinfo.com/ci/engine/match/361044.html
28,54,41,3,0,68.29,4,caught,2,v England,Kanpur,20 Nov 2008,https://stats.espncricinfo.com/ci/engine/match/361045.html
8*,13,10,1,0,80.00,6,not out,2,v England,Cuttack,26 Nov 2008,https://stats.espncricinfo.com/ci/engine/match/361047.html
25*,44,30,3,0,83.33,6,not out,2,v Sri Lanka,Dambulla,28 Jan 2009,https://stats.espncricinfo.com/ci/engine/match/386530.html
4*,12,6,0,0,66.66,7,not out,1,v Sri Lanka,Colombo (RPS),5 Feb 2009,https://stats.espncricinfo.com/ci/engine/match/386533.html
15,31,22,1,0,68.18,5,caught,2,v Sri Lanka,Colombo (RPS),8 Feb 2009,https://stats.espncricinfo.com/ci/engine/match/386534.html
DNB,-,-,-,-,-,-,-,2,v New Zealand,Hamilton,11 Mar 2009,https://stats.espncricinfo.com/ci/engine/match/366624.html
